step,time,x_num,vx_num,x_exact,error_x
82,8.2000000000e-02,6.2450000000e-01,1.5000000000e+00,6.2300000000e-01,1.5000000000e-03
83,8.3000000000e-02,6.2600000000e-01,1.5000000000e+00,6.2450000000e-01,1.5000000000e-03
84,8.4000000000e-02,6.2750000000e-01,1.5000000000e+00,6.2600000000e-01,1.5000000000e-03
85,8.5000000000e-02,6.2900000000e-01,1.5000000000e+00,6.2750000000e-01,1.5000000000e-03
86,8.6000000000e-02,6.3050000000e-01,1.5000000000e+00,6.2900000000e-01,1.5000000000e-03
87,8.7000000000e-02,6.3200000000e-01,1.5000000000e+00,6.3050000000e-01,1.5000000000e-03
88,8.8000000000e-02,6.3350000000e-01,1.5000000000e+00,6.3200000000e-01,1.5000000000e-03
89,8.9000000000e-02,6.3500000000e-01,1.5000000000e+00,6.3350000000e-01,1.5000000000e-03
90,9.0000000000e-02,6.3650000000e-01,1.5000000000e+00,6.3500000000e-01,1.5000000000e-03
91,9.1000000000e-02,6.3800000000e-01,1.5000000000e+00,6.3650000000e-01,1.5000000000e-03
92,9.2000000000e-02,6.3950000000e-01,1.5000000000e+00,6.3800000000e-01,1.5000000000e-03
93,9.3000000000e-02,6.4100000000e-01,1.5000000000e+00,6.3950000000e-01,1.5000000000e-03
94,9.4000000000e-02,6.4250000000e-01,1.5000000000e+00,6.4100000000e-01,1.5000000000e-03
95,9.5000000000e-02,6.4400000000e-01,1.5000000000e+00,6.4250000000e-01,1.5000000000e-03
96,9.6000000000e-02,6.4550000000e-01,1.5000000000e+00,6.4400000000e-01,1.5000000000e-03
97,9.7000000000e-02,6.4700000000e-01,1.5000000000e+00,6.4550000000e-01,1.5000000000e-03
98,9.8000000000e-02,6.4850000000e-01,1.5000000000e+00,6.4700000000e-01,1.5000000000e-03
99,9.9000000000e-02,6.5000000000e-01,1.5000000000e+00,6.4850000000e-01,1.5000000000e-03
100,1.0000000000e-01,6.5150000000e-01,1.5000000000e+00,6.5000000000e-01,1.5000000000e-03
101,1.0100000000e-01,6.5300000000e-01,1.5000000000e+00,6.5150000000e-01,1.5000000000e-03
102,1.0200000000e-01,6.5450000000e-01,1.5000000000e+00,6.5300000000e-01,1.5000000000e-03
103,1.0300000000e-01,6.5600000000e-01,1.5000000000e+00,6.5450000000e-01,1.5000000000e-03
104,1.0400000000e-01,6.5750000000e-01,1.5000000000e+00,6.5600000000e-01,1.5000000000e-03
105,1.0500000000e-01,6.5900000000e-01,1.5000000000e+00,6.5750000000e-01,1.5000000000e-03
106,1.0600000000e-01,6.6050000000e-01,1.5000000000e+00,6.5900000000e-01,1.5000000000e-03
107,1.0700000000e-01,6.6200000000e-01,1.5000000000e+00,6.6050000000e-01,1.5000000000e-03
108,1.0800000000e-01,6.6350000000e-01,1.5000000000e+00,6.6200000000e-01,1.5000000000e-03
109,1.0900000000e-01,6.6500000000e-01,1.5000000000e+00,6.6350000000e-01,1.5000000000e-03
110,1.1000000000e-01,6.6650000000e-01,1.5000000000e+00,6.6500000000e-01,1.5000000000e-03
111,1.1100000000e-01,6.6800000000e-01,1.5000000000e+00,6.6650000000e-01,1.5000000000e-03
112,1.1200000000e-01,6.6950000000e-01,1.5000000000e+00,6.6800000000e-01,1.5000000000e-03
113,1.1300000000e-01,6.7100000000e-01,1.5000000000e+00,6.6950000000e-01,1.5000000000e-03
114,1.1400000000e-01,6.7250000000e-01,1.5000000000e+00,6.7100000000e-01,1.5000000000e-03
115,1.1500000000e-01,6.7400000000e-01,1.5000000000e+00,6.7250000000e-01,1.5000000000e-03
116,1.1600000000e-01,6.7550000000e-01,1.5000000000e+00,6.7400000000e-01,1.5000000000e-03
117,1.1700000000e-01,6.7700000000e-01,1.5000000000e+00,6.7550000000e-01,1.5000000000e-03
118,1.1800000000e-01,6.7850000000e-01,1.5000000000e+00,6.7700000000e-01,1.5000000000e-03
119,1.1900000000e-01,6.8000000000e-01,1.5000000000e+00,6.7850000000e-01,1.5000000000e-03
120,1.2000000000e-01,6.8150000000e-01,1.5000000000e+00,6.8000000000e-01,1.5000000000e-03
121,1.2100000000e-01,6.8300000000e-01,1.5000000000e+00,6.8150000000e-01,1.5000000000e-03
122,1.2200000000e-01,6.8450000000e-01,1.5000000000e+00,6.8300000000e-01,1.5000000000e-03
123,1.2300000000e-01,6.8600000000e-01,1.5000000000e+00,6.8450000000e-01,1.5000000000e-03
124,1.2400000000e-01,6.8750000000e-01,1.5000000000e+00,6.8600000000e-01,1.5000000000e-03
125,1.2500000000e-01,6.8900000000e-01,1.5000000000e+00,6.8750000000e-01,1.5000000000e-03
126,1.2600000000e-01,6.9050000000e-01,1.5000000000e+00,6.8900000000e-01,1.5000000000e-03
127,1.2700000000e-01,6.9200000000e-01,1.5000000000e+00,6.9050000000e-01,1.5000000000e-03
128,1.2800000000e-01,6.9350000000e-01,1.5000000000e+00,6.9200000000e-01,1.5000000000e-03
129,1.2900000000e-01,6.9500000000e-01,1.5000000000e+00,6.9350000000e-01,1.5000000000e-03
130,1.3000000000e-01,6.9650000000e-01,1.5000000000e+00,6.9500000000e-01,1.5000000000e-03
131,1.3100000000e-01,6.9800000000e-01,1.5000000000e+00,6.9650000000e-01,1.5000000000e-03
132,1.3200000000e-01,6.9950000000e-01,1.5000000000e+00,6.9800000000e-01,1.5000000000e-03
133,1.3300000000e-01,7.0100000000e-01,1.5000000000e+00,6.9950000000e-01,1.5000000000e-03
134,1.3400000000e-01,7.0250000000e-01,1.5000000000e+00,7.0100000000e-01,1.5000000000e-03
135,1.3500000000e-01,7.0400000000e-01,1.5000000000e+00,7.0250000000e-01,1.5000000000e-03
136,1.3600000000e-01,7.0550000000e-01,1.5000000000e+00,7.0400000000e-01,1.5000000000e-03
137,1.3700000000e-01,7.0700000000e-01,1.5000000000e+00,7.0550000000e-01,1.5000000000e-03
138,1.3800000000e-01,7.0850000000e-01,1.5000000000e+00,7.0700000000e-01,1.5000000000e-03
139,1.3900000000e-01,7.1000000000e-01,1.5000000000e+00,7.0850000000e-01,1.5000000000e-03
140,1.4000000000e-01,7.1150000000e-01,1.5000000000e+00,7.1000000000e-01,1.5000000000e-03
141,1.4100000000e-01,7.1300000000e-01,1.5000000000e+00,7.1150000000e-01,1.5000000000e-03
142,1.4200000000e-01,7.1450000000e-01,1.5000000000e+00,7.1300000000e-01,1.5000000000e-03
143,1.4300000000e-01,7.1600000000e-01,1.5000000000e+00,7.1450000000e-01,1.5000000000e-03
144,1.4400000000e-01,7.1750000000e-01,1.5000000000e+00,7.1600000000e-01,1.5000000000e-03
145,1.4500000000e-01,7.1900000000e-01,1.5000000000e+00,7.1750000000e-01,1.5000000000e-03
146,1.4600000000e-01,7.2050000000e-01,1.5000000000e+00,7.1900000000e-01,1.5000000000e-03
147,1.4700000000e-01,7.2200000000e-01,1.5000000000e+00,7.2050000000e-01,1.5000000000e-03
148,1.4800000000e-01,7.2350000000e-01,1.5000000000e+00,7.2200000000e-01,1.5000000000e-03
149,1.4900000000e-01,7.2500000000e-01,1.5000000000e+00,7.2350000000e-01,1.5000000000e-03
150,1.5000000000e-01,7.2650000000e-01,1.5000000000e+00,7.2500000000e-01,1.5000000000e-03
151,1.5100000000e-01,7.2800000000e-01,1.5000000000e+00,7.2650000000e-01,1.5000000000e-03
152,1.5200000000e-01,7.2950000000e-01,1.5000000000e+00,7.2800000000e-01,1.5000000000e-03
153,1.5300000000e-01,7.3100000000e-01,1.5000000000e+00,7.2950000000e-01,1.5000000000e-03
154,1.5400000000e-01,7.3250000000e-01,1.5000000000e+00,7.3100000000e-01,1.5000000000e-03
155,1.5500000000e-01,7.3400000000e-01,1.5000000000e+00,7.3250000000e-01,1.5000000000e-03
156,1.5600000000e-01,7.3550000000e-01,1.5000000000e+00,7.3400000000e-01,1.5000000000e-03
157,1.5700000000e-01,7.3700000000e-01,1.5000000000e+00,7.3550000000e-01,1.5000000000e-03
158,1.5800000000e-01,7.3850000000e-01,1.5000000000e+00,7.3700000000e-01,1.5000000000e-03
159,1.5900000000e-01,7.4000000000e-01,1.5000000000e+00,7.3850000000e-01,1.5000000000e-03
160,1.6000000000e-01,7.4150000000e-01,1.5000000000e+00,7.4000000000e-01,1.5000000000e-03
161,1.6100000000e-01,7.4300000000e-01,1.5000000000e+00,7.4150000000e-01,1.5000000000e-03
162,1.6200000000e-01,7.4450000000e-01,1.5000000000e+00,7.4300000000e-01,1.5000000000e-03
163,1.6300000000e-01,7.4600000000e-01,1.5000000000e+00,7.4450000000e-01,1.5000000000e-03
164,1.6400000000e-01,7.4750000000e-01,1.5000000000e+00,7.4600000000e-01,1.5000000000e-03
165,1.6500000000e-01,7.4900000000e-01,1.5000000000e+00,7.4750000000e-01,1.5000000000e-03
166,1.6600000000e-01,7.5050000000e-01,1.5000000000e+00,7.4900000000e-01,1.5000000000e-03
167,1.6700000000e-01,7.5200000000e-01,1.5000000000e+00,7.5050000000e-01,1.5000000000e-03
168,1.6800000000e-01,7.5350000000e-01,1.5000000000e+00,7.5200000000e-01,1.5000000000e-03
169,1.6900000000e-01,7.5500000000e-01,1.5000000000e+00,7.5350000000e-01,1.5000000000e-03
170,1.7000000000e-01,7.5650000000e-01,1.5000000000e+00,7.5500000000e-01,1.5000000000e-03
171,1.7100000000e-01,7.5800000000e-01,1.5000000000e+00,7.5650000000e-01,1.5000000000e-03
172,1.7200000000e-01,7.5950000000e-01,1.5000000000e+00,7.5800000000e-01,1.5000000000e-03
173,1.7300000000e-01,7.6100000000e-01,1.5000000000e+00,7.5950000000e-01,1.5000000000e-03
174,1.7400000000e-01,7.6250000000e-01,1.5000000000e+00,7.6100000000e-01,1.5000000000e-03
175,1.7500000000e-01,7.6400000000e-01,1.5000000000e+00,7.6250000000e-01,1.5000000000e-03
176,1.7600000000e-01,7.6550000000e-01,1.5000000000e+00,7.6400000000e-01,1.5000000000e-03
177,1.7700000000e-01,7.6700000000e-01,1.5000000000e+00,7.6550000000e-01,1.5000000000e-03
178,1.7800000000e-01,7.6850000000e-01,1.5000000000e+00,7.6700000000e-01,1.5000000000e-03
179,1.7900000000e-01,7.7000000000e-01,1.5000000000e+00,7.6850000000e-01,1.5000000000e-03
180,1.8000000000e-01,7.7150000000e-01,1.5000000000e+00,7.7000000000e-01,1.5000000000e-03
181,1.8100000000e-01,7.7300000000e-01,1.5000000000e+00,7.7150000000e-01,1.5000000000e-03
182,1.8200000000e-01,7.7450000000e-01,1.5000000000e+00,7.7300000000e-01,1.5000000000e-03
183,1.8300000000e-01,7.7600000000e-01,1.5000000000e+00,7.7450000000e-01,1.5000000000e-03
184,1.8400000000e-01,7.7750000000e-01,1.5000000000e+00,7.7600000000e-01,1.5000000000e-03
185,1.8500000000e-01,7.7900000000e-01,1.5000000000e+00,7.7750000000e-01,1.5000000000e-03
186,1.8600000000e-01,7.8050000000e-01,1.5000000000e+00,7.7900000000e-01,1.5000000000e-03
187,1.8700000000e-01,7.8200000000e-01,1.5000000000e+00,7.8050000000e-01,1.5000000000e-03
188,1.8800000000e-01,7.8350000000e-01,1.5000000000e+00,7.8200000000e-01,1.5000000000e-03
189,1.8900000000e-01,7.8500000000e-01,1.5000000000e+00,7.8350000000e-01,1.5000000000e-03
190,1.9000000000e-01,7.8650000000e-01,1.5000000000e+00,7.8500000000e-01,1.5000000000e-03
191,1.9100000000e-01,7.8800000000e-01,1.5000000000e+00,7.8650000000e-01,1.5000000000e-03
192,1.9200000000e-01,7.8950000000e-01,1.5000000000e+00,7.8800000000e-01,1.5000000000e-03
193,1.9300000000e-01,7.9100000000e-01,1.5000000000e+00,7.8950000000e-01,1.5000000000e-03
194,1.9400000000e-01,7.9250000000e-01,1.5000000000e+00,7.9100000000e-01,1.5000000000e-03
195,1.9500000000e-01,7.9400000000e-01,1.5000000000e+00,7.9250000000e-01,1.5000000000e-03
196,1.9600000000e-01,7.9550000000e-01,1.5000000000e+00,7.9400000000e-01,1.5000000000e-03
197,1.9700000000e-01,7.9700000000e-01,1.5000000000e+00,7.9550000000e-01,1.5000000000e-03
198,1.9800000000e-01,7.9850000000e-01,1.5000000000e+00,7.9700000000e-01,1.5000000000e-03
199,1.9900000000e-01,8.0000000000e-01,1.5000000000e+00,7.9850000000e-01,1.5000000000e-03
200,2.0000000000e-01,8.0150000000e-01,1.5000000000e+00,8.0000000000e-01,1.5000000000e-03
201,2.0100000000e-01,8.0300000000e-01,1.5000000000e+00,8.0150000000e-01,1.5000000000e-03
202,2.0200000000e-01,8.0450000000e-01,1.5000000000e+00,8.0300000000e-01,1.5000000000e-03
203,2.0300000000e-01,8.0600000000e-01,1.5000000000e+00,8.0450000000e-01,1.5000000000e-03
204,2.0400000000e-01,8.0750000000e-01,1.5000000000e+00,8.0600000000e-01,1.5000000000e-03
205,2.0500000000e-01,8.0900000000e-01,1.5000000000e+00,8.0750000000e-01,1.5000000000e-03
206,2.0600000000e-01,8.1050000000e-01,1.5000000000e+00,8.0900000000e-01,1.5000000000e-03
207,2.0700000000e-01,8.1200000000e-01,1.5000000000e+00,8.1050000000e-01,1.5000000000e-03
208,2.0800000000e-01,8.1350000000e-01,1.5000000000e+00,8.1200000000e-01,1.5000000000e-03
209,2.0900000000e-01,8.1500000000e-01,1.5000000000e+00,8.1350000000e-01,1.5000000000e-03
210,2.1000000000e-01,8.1650000000e-01,1.5000000000e+00,8.1500000000e-01,1.5000000000e-03
211,2.1100000000e-01,8.1800000000e-01,1.5000000000e+00,8.1650000000e-01,1.5000000000e-03
212,2.1200000000e-01,8.1950000000e-01,1.5000000000e+00,8.1800000000e-01,1.5000000000e-03
213,2.1300000000e-01,8.2100000000e-01,1.5000000000e+00,8.1950000000e-01,1.5000000000e-03
214,2.1400000000e-01,8.2250000000e-01,1.5000000000e+00,8.2100000000e-01,1.5000000000e-03
215,2.1500000000e-01,8.2400000000e-01,1.5000000000e+00,8.2250000000e-01,1.5000000000e-03
216,2.1600000000e-01,8.2550000000e-01,1.5000000000e+00,8.2400000000e-01,1.5000000000e-03
217,2.1700000000e-01,8.2700000000e-01,1.5000000000e+00,8.2550000000e-01,1.5000000000e-03
218,2.1800000000e-01,8.2850000000e-01,1.5000000000e+00,8.2700000000e-01,1.5000000000e-03
219,2.1900000000e-01,8.3000000000e-01,1.5000000000e+00,8.2850000000e-01,1.5000000000e-03
220,2.2000000000e-01,8.3150000000e-01,1.5000000000e+00,8.3000000000e-01,1.5000000000e-03
221,2.2100000000e-01,8.3300000000e-01,1.5000000000e+00,8.3150000000e-01,1.5000000000e-03
222,2.2200000000e-01,8.3450000000e-01,1.5000000000e+00,8.3300000000e-01,1.5000000000e-03
223,2.2300000000e-01,8.3600000000e-01,1.5000000000e+00,8.3450000000e-01,1.5000000000e-03
224,2.2400000000e-01,8.3750000000e-01,1.5000000000e+00,8.3600000000e-01,1.5000000000e-03
225,2.2500000000e-01,8.3900000000e-01,1.5000000000e+00,8.3750000000e-01,1.5000000000e-03
226,2.2600000000e-01,8.4050000000e-01,1.5000000000e+00,8.3900000000e-01,1.5000000000e-03
227,2.2700000000e-01,8.4200000000e-01,1.5000000000e+00,8.4050000000e-01,1.5000000000e-03
228,2.2800000000e-01,8.4350000000e-01,1.5000000000e+00,8.4200000000e-01,1.5000000000e-03
229,2.2900000000e-01,8.4500000000e-01,1.5000000000e+00,8.4350000000e-01,1.5000000000e-03
230,2.3000000000e-01,8.4650000000e-01,1.5000000000e+00,8.4500000000e-01,1.5000000000e-03
231,2.3100000000e-01,8.4800000000e-01,1.5000000000e+00,8.4650000000e-01,1.5000000000e-03
232,2.3200000000e-01,8.4950000000e-01,1.5000000000e+00,8.4800000000e-01,1.5000000000e-03
233,2.3300000000e-01,8.5100000000e-01,1.5000000000e+00,8.4950000000e-01,1.5000000000e-03
234,2.3400000000e-01,8.5250000000e-01,1.5000000000e+00,8.5100000000e-01,1.5000000000e-03
235,2.3500000000e-01,8.5400000000e-01,1.5000000000e+00,8.5250000000e-01,1.5000000000e-03
236,2.3600000000e-01,8.5550000000e-01,1.5000000000e+00,8.5400000000e-01,1.5000000000e-03
237,2.3700000000e-01,8.5700000000e-01,1.5000000000e+00,8.5550000000e-01,1.5000000000e-03
238,2.3800000000e-01,8.5850000000e-01,1.5000000000e+00,8.5700000000e-01,1.5000000000e-03
239,2.3900000000e-01,8.6000000000e-01,1.5000000000e+00,8.5850000000e-01,1.5000000000e-03
240,2.4000000000e-01,8.6150000000e-01,1.5000000000e+00,8.6000000000e-01,1.5000000000e-03
241,2.4100000000e-01,8.6300000000e-01,1.5000000000e+00,8.6150000000e-01,1.5000000000e-03
242,2.4200000000e-01,8.6450000000e-01,1.5000000000e+00,8.6300000000e-01,1.5000000000e-03
243,2.4300000000e-01,8.6600000000e-01,1.5000000000e+00,8.6450000000e-01,1.5000000000e-03
244,2.4400000000e-01,8.6750000000e-01,1.5000000000e+00,8.6600000000e-01,1.5000000000e-03
245,2.4500000000e-01,8.6900000000e-01,1.5000000000e+00,8.6750000000e-01,1.5000000000e-03
246,2.4600000000e-01,8.7050000000e-01,1.5000000000e+00,8.6900000000e-01,1.5000000000e-03
247,2.4700000000e-01,8.7200000000e-01,1.5000000000e+00,8.7050000000e-01,1.5000000000e-03
248,2.4800000000e-01,8.7350000000e-01,1.5000000000e+00,8.7200000000e-01,1.5000000000e-03
249,2.4900000000e-01,8.7500000000e-01,1.5000000000e+00,8.7350000000e-01,1.5000000000e-03
250,2.5000000000e-01,8.7650000000e-01,1.5000000000e+00,8.7500000000e-01,1.5000000000e-03
251,2.5100000000e-01,8.7800000000e-01,1.5000000000e+00,8.7650000000e-01,1.5000000000e-03
252,2.5200000000e-01,8.7950000000e-01,1.5000000000e+00,8.7800000000e-01,1.5000000000e-03
253,2.5300000000e-01,8.8100000000e-01,1.5000000000e+00,8.7950000000e-01,1.5000000000e-03
254,2.5400000000e-01,8.8250000000e-01,1.5000000000e+00,8.8100000000e-01,1.5000000000e-03
255,2.5500000000e-01,8.8400000000e-01,1.5000000000e+00,8.8250000000e-01,1.5000000000e-03
256,2.5600000000e-01,8.8550000000e-01,1.5000000000e+00,8.8400000000e-01,1.5000000000e-03
257,2.5700000000e-01,8.8700000000e-01,1.5000000000e+00,8.8550000000e-01,1.5000000000e-03
258,2.5800000000e-01,8.8850000000e-01,1.5000000000e+00,8.8700000000e-01,1.5000000000e-03
259,2.5900000000e-01,8.9000000000e-01,1.5000000000e+00,8.8850000000e-01,1.5000000000e-03
260,2.6000000000e-01,8.9150000000e-01,1.5000000000e+00,8.9000000000e-01,1.5000000000e-03
261,2.6100000000e-01,8.9300000000e-01,1.5000000000e+00,8.9150000000e-01,1.5000000000e-03
262,2.6200000000e-01,8.9450000000e-01,1.5000000000e+00,8.9300000000e-01,1.5000000000e-03
263,2.6300000000e-01,8.9600000000e-01,1.5000000000e+00,8.9450000000e-01,1.5000000000e-03
264,2.6400000000e-01,8.9750000000e-01,1.5000000000e+00,8.9600000000e-01,1.5000000000e-03
265,2.6500000000e-01,8.9900000000e-01,1.5000000000e+00,8.9750000000e-01,1.5000000000e-03
266,2.6600000000e-01,9.0050000000e-01,1.5000000000e+00,8.9900000000e-01,1.5000000000e-03
267,2.6700000000e-01,9.0200000000e-01,1.5000000000e+00,9.0050000000e-01,1.5000000000e-03
